Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,1.0,557.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
1,10000,0.0,1.0,560.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
2,19996,0.0,1.0,560.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
3,29996,0.0,1.0,559.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
4,40000,0.0,1.0,559.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
5,49996,0.0,1.0,558.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
6,60000,0.0,1.0,559.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
7,70000,0.0,1.0,559.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
8,80000,0.0,1.0,559.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
9,90000,0.0,1.0,561.0,113.0,111.0,2043.0,0.0,1680.0,4294955088.0,0.0,0.0
10,100000,0.0,1.0,566.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
11,109996,0.0,1.0,561.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
12,120000,0.0,1.0,561.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
13,130000,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
14,140000,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
15,149996,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
16,160000,0.0,1.0,561.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
17,170000,0.0,1.0,561.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
18,180000,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
19,190000,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
20,199996,0.0,1.0,562.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
21,210000,0.0,1.0,561.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
22,220000,0.0,1.0,561.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
23,229996,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
24,240000,0.0,1.0,559.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
25,250000,0.0,1.0,578.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
26,260000,0.0,1.0,623.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
27,270000,0.0,1.0,567.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
28,280000,0.0,1.0,543.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
29,289996,0.0,1.0,538.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
30,300000,0.0,1.0,551.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
31,310000,0.0,1.0,558.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
32,319996,0.0,1.0,559.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
33,330000,0.0,1.0,559.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
34,340000,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
35,349996,0.0,1.0,560.0,113.0,111.0,2044.0,0.0,1680.0,4294955088.0,0.0,0.0
