Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,1.0,560.0,114.0,107.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
1,10000,0.0,1.0,561.0,114.0,107.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
2,20000,0.0,1.0,562.0,114.0,107.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
3,29996,0.0,1.0,570.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
4,40000,0.0,1.0,564.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
5,50000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
6,60000,0.0,1.0,560.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
7,69996,0.0,1.0,560.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
8,80000,0.0,1.0,560.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
9,90000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
10,99996,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
11,109996,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
12,120000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
13,130004,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
14,139996,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
15,149996,0.0,1.0,561.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
16,160000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
17,170000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
18,180000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
19,189996,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
20,199996,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
21,210000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
22,220000,0.0,1.0,562.0,114.0,111.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
23,229996,0.0,1.0,569.0,114.0,110.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
24,240000,0.0,1.0,564.0,114.0,110.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
25,250000,0.0,1.0,562.0,114.0,110.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
26,259996,0.0,1.0,561.0,114.0,110.0,2001.0,0.0,1440.0,4294953088.0,0.0,0.0
