Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,1.0,559.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
1,10000,0.0,1.0,560.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
2,19996,0.0,1.0,558.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
3,30000,0.0,1.0,558.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
4,40000,0.0,1.0,558.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
5,49996,0.0,1.0,558.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
6,59996,0.0,1.0,560.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
7,70000,0.0,1.0,559.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
8,80004,0.0,1.0,558.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
9,89996,0.0,1.0,570.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
10,99996,0.0,1.0,566.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
11,110000,0.0,1.0,561.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
12,120000,0.0,1.0,560.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
13,129996,0.0,1.0,560.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
14,140000,0.0,1.0,562.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
15,150000,0.0,1.0,568.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
16,160000,0.0,1.0,562.0,113.0,110.0,2043.0,0.0,1680.0,4294954788.0,0.0,0.0
