Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,1.0,679.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
1,9996,1.0,1.0,722.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
2,20000,1.0,1.0,879.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
3,30000,1.0,1.0,921.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
4,40000,1.0,1.0,935.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
5,50000,1.0,1.0,944.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
6,60000,1.0,1.0,802.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
7,70000,1.0,1.0,694.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
8,79996,1.0,1.0,667.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
9,90000,1.0,1.0,659.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
10,100000,1.0,1.0,662.0,121.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
11,110000,1.0,1.0,660.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
12,120000,1.0,1.0,874.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
13,130000,1.0,1.0,935.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
14,140000,1.0,1.0,952.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
15,150000,1.0,1.0,952.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
16,159996,1.0,1.0,804.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
17,170000,1.0,1.0,694.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
18,179996,1.0,1.0,668.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
19,190000,1.0,1.0,660.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
20,200000,1.0,1.0,658.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
21,209996,1.0,1.0,656.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
22,220000,1.0,1.0,876.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
23,230000,1.0,1.0,930.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
24,239996,1.0,1.0,948.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
25,249996,1.0,1.0,960.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
26,260000,1.0,1.0,812.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
27,269996,1.0,1.0,698.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
28,280000,1.0,1.0,668.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
29,290000,1.0,1.0,661.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
30,300004,1.0,1.0,663.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
31,309996,1.0,1.0,657.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
32,320000,1.0,1.0,882.0,122.0,249.0,2528.0,0.0,1620.0,492.0,0.0,0.0
33,330000,1.0,1.0,939.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
34,340000,1.0,1.0,945.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
35,349996,1.0,1.0,954.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
36,360000,1.0,1.0,814.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
37,369996,1.0,1.0,697.0,122.0,249.0,2528.0,0.0,1680.0,492.0,0.0,0.0
