Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,1.0,722.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
1,10000,1.0,1.0,696.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
2,20004,1.0,1.0,688.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
3,30000,1.0,1.0,692.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
4,40000,1.0,1.0,689.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
5,50004,1.0,1.0,906.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
6,60004,1.0,1.0,951.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
7,70000,1.0,1.0,963.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
8,80000,1.0,1.0,968.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
9,90004,1.0,1.0,836.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
10,100012,1.0,1.0,726.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
11,110000,1.0,1.0,697.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
12,120000,1.0,1.0,688.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
13,130004,1.0,1.0,686.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
14,140004,1.0,1.0,712.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
15,150000,1.0,1.0,953.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
16,160004,1.0,1.0,956.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
17,170004,1.0,1.0,951.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
18,180004,1.0,1.0,963.0,121.0,254.0,2524.0,0.0,1740.0,692.0,0.0,0.0
