Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,1.0,677.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
1,10004,1.0,1.0,886.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
2,20004,1.0,1.0,937.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
3,30000,1.0,1.0,952.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
4,40004,1.0,1.0,958.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
5,50004,1.0,1.0,812.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
6,60004,1.0,1.0,706.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
7,70000,1.0,1.0,680.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
8,80004,1.0,1.0,672.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
9,90000,1.0,1.0,669.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
10,100004,1.0,1.0,673.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
11,110004,1.0,1.0,886.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
12,120004,1.0,1.0,940.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
13,130004,1.0,1.0,951.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
14,140000,1.0,1.0,958.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
15,150000,1.0,1.0,816.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
16,160004,1.0,1.0,705.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
17,170004,1.0,1.0,679.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
18,180004,1.0,1.0,674.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
19,190000,1.0,1.0,675.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
20,200004,1.0,1.0,671.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
21,210004,1.0,1.0,885.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
22,220004,1.0,1.0,938.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
23,230000,1.0,1.0,952.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
24,240004,1.0,1.0,958.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
25,250004,1.0,1.0,818.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
26,260000,1.0,1.0,734.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
27,270004,1.0,1.0,735.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
28,280004,1.0,1.0,669.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
29,290008,1.0,1.0,653.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
30,300004,1.0,1.0,652.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
31,310008,1.0,1.0,877.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
32,320000,1.0,1.0,939.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
33,330012,1.0,1.0,953.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
34,340008,1.0,1.0,955.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
35,350004,1.0,1.0,821.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
36,360004,1.0,1.0,706.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
37,370008,1.0,1.0,679.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
38,380004,1.0,1.0,672.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
39,390012,1.0,1.0,676.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
40,400004,1.0,1.0,670.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
41,410016,1.0,1.0,884.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
42,420012,1.0,1.0,939.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
43,430004,1.0,1.0,954.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
44,440008,1.0,1.0,959.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
45,450004,1.0,1.0,824.0,122.0,250.0,2532.0,0.0,1500.0,492.0,0.0,0.0
