Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,1.0,651.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
1,10000,1.0,1.0,650.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
2,19996,1.0,1.0,700.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
3,30012,1.0,1.0,921.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
4,40000,1.0,1.0,946.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
5,50004,1.0,1.0,952.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
6,60008,1.0,1.0,962.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
7,70000,1.0,1.0,803.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
8,80004,1.0,1.0,688.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
9,90000,1.0,1.0,659.0,122.0,248.0,2521.0,0.0,1500.0,0.0,0.0,0.0
10,100000,1.0,1.0,661.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
11,110008,1.0,1.0,660.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
12,120000,1.0,1.0,654.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
13,130108,1.0,1.0,954.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
14,140104,1.0,1.0,970.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
15,150092,1.0,1.0,976.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
16,160112,1.0,1.0,814.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
17,170100,1.0,1.0,689.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
18,180088,1.0,1.0,661.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
19,190080,1.0,1.0,653.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
20,200072,1.0,1.0,650.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
21,210060,1.0,1.0,649.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
22,220052,1.0,1.0,897.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
23,230064,1.0,1.0,958.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
24,240056,1.0,1.0,971.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
25,250044,1.0,1.0,976.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
26,260036,1.0,1.0,818.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
27,270024,1.0,1.0,691.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
28,280012,1.0,1.0,662.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
29,290000,1.0,1.0,654.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
30,300020,1.0,1.0,657.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
31,310012,1.0,1.0,650.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
32,320000,1.0,1.0,898.0,122.0,248.0,2521.0,0.0,1560.0,0.0,0.0,0.0
