Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,1.0,656.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
1,10000,1.0,1.0,664.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
2,19996,1.0,1.0,885.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
3,30000,1.0,1.0,935.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
4,40000,1.0,1.0,948.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
5,50000,1.0,1.0,950.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
6,59996,1.0,1.0,814.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
7,70000,1.0,1.0,704.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
8,80000,1.0,1.0,678.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
9,90000,1.0,1.0,670.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
10,99996,1.0,1.0,674.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
11,110000,1.0,1.0,667.0,121.0,255.0,2530.0,0.0,1380.0,692.0,0.0,0.0
12,120000,1.0,1.0,880.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
13,129996,1.0,1.0,932.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
14,140000,1.0,1.0,946.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
15,150000,1.0,1.0,950.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
16,159996,1.0,1.0,816.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
17,170000,1.0,1.0,705.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
18,179996,1.0,1.0,679.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
19,190000,1.0,1.0,671.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
20,200000,1.0,1.0,668.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
21,209996,1.0,1.0,664.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
22,220000,1.0,1.0,877.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
23,230000,1.0,1.0,931.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
24,239996,1.0,1.0,948.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
25,250000,1.0,1.0,961.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
26,260000,1.0,1.0,827.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
27,269996,1.0,1.0,711.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
28,280000,1.0,1.0,683.0,121.0,256.0,2530.0,0.0,1380.0,692.0,0.0,0.0
29,290000,1.0,1.0,674.0,121.0,256.0,2529.0,0.0,1380.0,692.0,0.0,0.0
30,300000,1.0,1.0,677.0,121.0,256.0,2529.0,0.0,1380.0,692.0,0.0,0.0
31,309996,1.0,1.0,671.0,121.0,256.0,2529.0,0.0,1380.0,692.0,0.0,0.0
32,320000,1.0,1.0,880.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
33,330000,1.0,1.0,936.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
34,339996,1.0,1.0,959.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
35,350000,1.0,1.0,957.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
36,360000,1.0,1.0,829.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
37,369996,1.0,1.0,713.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
38,380000,1.0,1.0,684.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
39,390000,1.0,1.0,676.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
40,399996,1.0,1.0,673.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
41,410000,1.0,1.0,714.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
42,420000,1.0,1.0,935.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
43,429996,1.0,1.0,941.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
44,440000,1.0,1.0,938.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
45,449996,1.0,1.0,949.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
46,459996,1.0,1.0,810.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
47,470000,1.0,1.0,709.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
48,480000,1.0,1.0,684.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
49,489996,1.0,1.0,676.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
50,499996,1.0,1.0,679.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
51,510004,1.0,1.0,683.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
52,519996,1.0,1.0,890.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
53,529996,1.0,1.0,942.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
54,540000,1.0,1.0,962.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
55,550000,1.0,1.0,962.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
56,559996,1.0,1.0,816.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
57,570000,1.0,1.0,710.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
58,580000,1.0,1.0,684.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
59,589996,1.0,1.0,677.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
60,600000,1.0,1.0,675.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
61,610000,1.0,1.0,680.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
62,620000,1.0,1.0,896.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
63,630000,1.0,1.0,946.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
64,640000,1.0,1.0,956.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
65,649996,1.0,1.0,961.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
66,660000,1.0,1.0,818.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
67,670000,1.0,1.0,712.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
68,680000,1.0,1.0,685.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
69,690000,1.0,1.0,678.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
70,700000,1.0,1.0,680.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
71,710000,1.0,1.0,676.0,121.0,255.0,2529.0,0.0,1380.0,692.0,0.0,0.0
72,720000,1.0,1.0,893.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
73,730000,1.0,1.0,942.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
74,740000,1.0,1.0,954.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
75,749996,1.0,1.0,960.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
76,760000,1.0,1.0,822.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
77,770000,1.0,1.0,711.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
78,779996,1.0,1.0,684.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
79,790000,1.0,1.0,677.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
80,800000,1.0,1.0,674.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
81,810000,1.0,1.0,671.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
82,820000,1.0,1.0,886.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
83,830000,1.0,1.0,938.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
84,839996,1.0,1.0,951.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
85,850000,1.0,1.0,956.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
86,860000,1.0,1.0,825.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
87,869996,1.0,1.0,752.0,121.0,254.0,2529.0,0.0,1380.0,692.0,0.0,0.0
88,880000,1.0,1.0,709.0,121.0,254.0,2529.0,0.0,1440.0,692.0,0.0,0.0
89,890000,1.0,1.0,667.0,121.0,254.0,2529.0,0.0,1440.0,692.0,0.0,0.0
90,900000,1.0,1.0,660.0,121.0,254.0,2529.0,0.0,1440.0,692.0,0.0,0.0
91,910000,1.0,1.0,658.0,121.0,254.0,2529.0,0.0,1440.0,692.0,0.0,0.0
92,919996,1.0,1.0,878.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
93,930000,1.0,1.0,937.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
94,940000,1.0,1.0,955.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
95,949996,1.0,1.0,959.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
96,960000,1.0,1.0,826.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
97,970000,1.0,1.0,711.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
98,979996,1.0,1.0,684.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
99,990000,1.0,1.0,676.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
100,1000000,1.0,1.0,673.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
101,1009996,1.0,1.0,669.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
102,1020000,1.0,1.0,882.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
103,1030000,1.0,1.0,940.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
104,1039996,1.0,1.0,954.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
105,1050000,1.0,1.0,962.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
106,1060000,1.0,1.0,833.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
107,1070000,1.0,1.0,714.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
108,1080000,1.0,1.0,685.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
109,1090000,1.0,1.0,676.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
110,1099996,1.0,1.0,679.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
111,1110000,1.0,1.0,687.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
112,1120000,1.0,1.0,889.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
113,1130000,1.0,1.0,942.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
114,1139996,1.0,1.0,962.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
115,1150004,1.0,1.0,961.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
116,1160000,1.0,1.0,812.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
117,1169996,1.0,1.0,710.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
118,1180000,1.0,1.0,684.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
119,1190000,1.0,1.0,676.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
120,1199996,1.0,1.0,673.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
121,1209996,1.0,1.0,680.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
122,1220000,1.0,1.0,889.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
123,1230000,1.0,1.0,941.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
124,1239996,1.0,1.0,955.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
125,1250000,1.0,1.0,958.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
126,1260000,1.0,1.0,812.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
127,1270000,1.0,1.0,709.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
128,1280000,1.0,1.0,683.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
129,1289996,1.0,1.0,674.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
130,1300000,1.0,1.0,678.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
131,1310000,1.0,1.0,678.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
132,1319996,1.0,1.0,892.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
133,1330000,1.0,1.0,988.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
134,1340000,1.0,1.0,961.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
135,1349996,1.0,1.0,944.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
136,1359996,1.0,1.0,796.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
137,1370000,1.0,1.0,694.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
138,1380000,1.0,1.0,680.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
139,1389996,1.0,1.0,674.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
140,1399996,1.0,1.0,672.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
141,1410000,1.0,1.0,673.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
142,1420000,1.0,1.0,885.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
143,1429996,1.0,1.0,937.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
144,1440000,1.0,1.0,954.0,121.0,255.0,2529.0,0.0,1440.0,692.0,0.0,0.0
145,1449996,1.0,1.0,960.0,121.0,255.0,2528.0,0.0,1440.0,692.0,0.0,0.0
146,1460000,1.0,1.0,822.0,121.0,255.0,2528.0,0.0,1440.0,692.0,0.0,0.0
147,1470000,1.0,1.0,712.0,121.0,255.0,2528.0,0.0,1440.0,692.0,0.0,0.0
